"T","G","weight","cohort_raw","cohort_year","cohort_lab"
175,33,0.00232080199792114,169,2018,"Cohort 2018"
176,33,0.000695598872720726,169,2018,"Cohort 2018"
177,33,0.0016368878051231,169,2018,"Cohort 2018"
178,33,0.00134172475883398,169,2018,"Cohort 2018"
179,33,0.000331934646666017,169,2018,"Cohort 2018"
180,33,0.00168316509393773,169,2018,"Cohort 2018"
181,33,0.00133706617874589,169,2018,"Cohort 2018"
182,33,0.00129022378709988,169,2018,"Cohort 2018"
183,33,0.00100415054926734,169,2018,"Cohort 2018"
184,33,0.00233799437377321,169,2018,"Cohort 2018"
185,33,0.0013599632334777,169,2018,"Cohort 2018"
186,33,0.000997146392815431,169,2018,"Cohort 2018"
187,33,0.00189106587453394,169,2018,"Cohort 2018"
188,33,0.00133013966510586,169,2018,"Cohort 2018"
189,33,0.00163554791333985,169,2018,"Cohort 2018"
191,33,0.00192493393660527,169,2018,"Cohort 2018"
192,33,0.00133916671449617,169,2018,"Cohort 2018"
193,33,0.00117454378003829,169,2018,"Cohort 2018"
194,33,0.000307146580773603,169,2018,"Cohort 2018"
195,33,0.00113611645795243,169,2018,"Cohort 2018"
196,33,0.000897791970707553,169,2018,"Cohort 2018"
197,33,0.00287501053565478,169,2018,"Cohort 2018"
198,33,0.000610334429688428,169,2018,"Cohort 2018"
199,33,0.00180787560412248,169,2018,"Cohort 2018"
200,33,0.00118637864265662,169,2018,"Cohort 2018"
201,33,0.000577148348673096,169,2018,"Cohort 2018"
202,33,0.00191219636171708,169,2018,"Cohort 2018"
203,33,0.000884635464825935,169,2018,"Cohort 2018"
204,33,0.00111385073853639,169,2018,"Cohort 2018"
205,33,0.00114725932972712,169,2018,"Cohort 2018"
206,33,0.00139778864566641,169,2018,"Cohort 2018"
207,33,0.000278453835953302,169,2018,"Cohort 2018"
208,33,0.00209022093107019,169,2018,"Cohort 2018"
209,33,0.00272611016662198,169,2018,"Cohort 2018"
210,33,0.00140883573288821,169,2018,"Cohort 2018"
211,33,0.00144822696668052,169,2018,"Cohort 2018"
212,33,0.00161115373262477,169,2018,"Cohort 2018"
213,33,0.00115470872823501,169,2018,"Cohort 2018"
214,33,0.000303970882317046,169,2018,"Cohort 2018"
215,33,0.000866633919367659,169,2018,"Cohort 2018"
216,33,0.00165628599970664,169,2018,"Cohort 2018"
217,33,0.00146438313831093,169,2018,"Cohort 2018"
218,33,0.000830136042739135,169,2018,"Cohort 2018"
219,33,0.00138239526131198,169,2018,"Cohort 2018"
220,33,0.000286901127262971,169,2018,"Cohort 2018"
221,33,0.000278605360102007,169,2018,"Cohort 2018"
222,33,0.000866555396121531,169,2018,"Cohort 2018"
223,33,0.00165869540440118,169,2018,"Cohort 2018"
224,33,0.00111633208041229,169,2018,"Cohort 2018"
225,33,0.000572403717721852,169,2018,"Cohort 2018"
226,33,0.00114267031797411,169,2018,"Cohort 2018"
227,33,0.000551624877344248,169,2018,"Cohort 2018"
228,33,0.00230496325522323,169,2018,"Cohort 2018"
229,33,0.00133814231851633,169,2018,"Cohort 2018"
230,33,0.00027441372565929,169,2018,"Cohort 2018"
231,33,0.000254311106353454,169,2018,"Cohort 2018"
232,33,0.000513557280101769,169,2018,"Cohort 2018"
233,33,0.00106728529407346,169,2018,"Cohort 2018"
234,33,0.00101254931621267,169,2018,"Cohort 2018"
235,33,0.000487023369119905,169,2018,"Cohort 2018"
236,33,0.00141614865987934,169,2018,"Cohort 2018"
237,33,0.000756295206577342,169,2018,"Cohort 2018"
238,33,0.000531303057168088,169,2018,"Cohort 2018"
239,33,0.000531057189740279,169,2018,"Cohort 2018"
198,35,0.000719942414088805,198,2020,"Cohort 2020"
199,35,0.000712233185774539,198,2020,"Cohort 2020"
200,35,0.000351398652864345,198,2020,"Cohort 2020"
201,35,0.000686756333073474,198,2020,"Cohort 2020"
202,35,0.000327974901016915,198,2020,"Cohort 2020"
204,35,0.000999800030502861,198,2020,"Cohort 2020"
205,35,0.000341618824631969,198,2020,"Cohort 2020"
206,35,0.000334361721333471,198,2020,"Cohort 2020"
210,35,0.00033657113877783,198,2020,"Cohort 2020"
216,35,0.000330851658817962,198,2020,"Cohort 2020"
221,35,0.000333409352302196,198,2020,"Cohort 2020"
223,35,0.000662506452534104,198,2020,"Cohort 2020"
227,35,0.000330616430872312,198,2020,"Cohort 2020"
231,35,0.000309115098553643,198,2020,"Cohort 2020"
234,35,0.000307941321253355,198,2020,"Cohort 2020"
238,35,0.000640911041568466,198,2020,"Cohort 2020"
239,35,0.000320332587070328,198,2020,"Cohort 2020"
193,42,0.00270158623929329,193,2020,"Cohort 2020"
194,42,0.000702417831351382,193,2020,"Cohort 2020"
195,42,0.00262473159512156,193,2020,"Cohort 2020"
196,42,0.00137330530055176,193,2020,"Cohort 2020"
197,42,0.00232094371927296,193,2020,"Cohort 2020"
198,42,0.00209537729847781,193,2020,"Cohort 2020"
199,42,0.000690749871178338,193,2020,"Cohort 2020"
200,42,0.00238459896896371,193,2020,"Cohort 2020"
201,42,0.00232845556467045,193,2020,"Cohort 2020"
202,42,0.0022206327060317,193,2020,"Cohort 2020"
203,42,0.0027115265854192,193,2020,"Cohort 2020"
204,42,0.00322525019536186,193,2020,"Cohort 2020"
205,42,0.00198526300400321,193,2020,"Cohort 2020"
206,42,0.00291258057631834,193,2020,"Cohort 2020"
207,42,0.00193509702513234,193,2020,"Cohort 2020"
208,42,0.00171332662527486,193,2020,"Cohort 2020"
209,42,0.00221671346095,193,2020,"Cohort 2020"
210,42,0.00162914740739865,193,2020,"Cohort 2020"
211,42,0.00133483091295277,193,2020,"Cohort 2020"
212,42,0.0018755277420373,193,2020,"Cohort 2020"
213,42,0.00199643710176504,193,2020,"Cohort 2020"
214,42,0.0020881993033148,193,2020,"Cohort 2020"
215,42,0.00133176123209856,193,2020,"Cohort 2020"
216,42,0.00128044000607944,193,2020,"Cohort 2020"
